lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,31.52,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,32.56,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.77,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,201.64,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,5.58,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,146.42,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,72.62,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,41.11,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,37.67,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,51.03,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,212.51,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,2.63,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,144.9,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,77.69,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,32.17,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.3,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,49.8,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,191.78,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,9.46,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,171.73,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,70.37,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.55,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,21.82,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,40.38,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,140.4,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,7.36,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,124.16,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,66.73,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,13.44,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,27.31,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,40.57,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,153.57,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,3.78,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,127.14,backend,prod
2025-01-05T00:00:00Z,AmazonS3,us-east-1,Storage,60.37,data,prod
2025-01-06T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,30.77,frontend,prod
2025-01-06T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,34.01,backend,staging
2025-01-06T00:00:00Z,AmazonEBS,eu-west-1,Storage,46.54,platform,prod
2025-01-06T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,165.89,backend,prod
2025-01-06T00:00:00Z,AWSLambda,us-east-1,Requests,7.34,platform,staging
2025-01-06T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,157.58,backend,prod
2025-01-06T00:00:00Z,AmazonS3,us-east-1,Storage,77.18,data,prod
2025-01-07T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,14.4,frontend,prod
2025-01-07T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,40.12,backend,staging
2025-01-07T00:00:00Z,AmazonEBS,eu-west-1,Storage,49.41,platform,prod
2025-01-07T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,204.19,backend,prod
2025-01-07T00:00:00Z,AWSLambda,us-east-1,Requests,6.46,platform,staging
2025-01-07T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,184.84,backend,prod
2025-01-07T00:00:00Z,AmazonS3,us-east-1,Storage,63.53,data,prod
2025-01-08T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,18.18,frontend,prod
2025-01-08T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,27.57,backend,staging
2025-01-08T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.28,platform,prod
2025-01-08T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,250.82,backend,prod
2025-01-08T00:00:00Z,AWSLambda,us-east-1,Requests,2.25,platform,staging
2025-01-08T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,173.21,backend,prod
2025-01-08T00:00:00Z,AmazonS3,us-east-1,Storage,75.5,data,prod
2025-01-09T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,34.07,frontend,prod
2025-01-09T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.42,backend,staging
2025-01-09T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.91,platform,prod
2025-01-09T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,184.23,backend,prod
2025-01-09T00:00:00Z,AWSLambda,us-east-1,Requests,6.18,platform,staging
2025-01-09T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,166.24,backend,prod
2025-01-09T00:00:00Z,AmazonS3,us-east-1,Storage,60.67,data,prod
2025-01-10T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,33.04,frontend,prod
