lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,32.01,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,34.62,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,41.54,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,202.84,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,5.63,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,170.82,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,70.98,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.96,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,25.91,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,52.72,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,251.03,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,6.9,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,137.32,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,78.52,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,17.67,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,36.3,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.55,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,246.21,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,2.63,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,150.54,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,69.65,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.94,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,48.06,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,45.02,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,151.85,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,6.29,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,123.23,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,60.27,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,22.01,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,20.75,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,41.39,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,158.29,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,3.23,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,133.84,backend,prod
