lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,26.93,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,32.72,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,43.6,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,212.66,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,3.98,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,187.52,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,77.64,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,30.69,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,35.96,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,47.08,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,163.92,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,6.31,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,162.01,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,72.11,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,35.02,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,46.74,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,51.43,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,228.98,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,5.39,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,147.23,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,69.76,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,17.08,frontend,prod
