lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,31.66,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,38.84,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,42.42,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,172.5,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,5.64,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,155.43,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,72.41,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,30.52,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,26.5,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,42.92,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,153.59,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,7.19,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,200.46,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,82.57,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.37,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,35.06,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,53.38,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,192.72,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,2.62,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,207.74,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,69.08,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,19.64,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,21.47,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,42.94,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,179.86,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,7.86,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,119.81,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,52.78,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,25.76,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,29.78,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,40.83,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,201.47,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,6.02,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,112.02,backend,prod
2025-01-05T00:00:00Z,AmazonS3,us-east-1,Storage,49.31,data,prod
2025-01-06T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,26.67,frontend,prod
2025-01-06T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,30.38,backend,staging
2025-01-06T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.82,platform,prod
2025-01-06T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,205.92,backend,prod
2025-01-06T00:00:00Z,AWSLambda,us-east-1,Requests,5.33,platform,staging
2025-01-06T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,220.5,backend,prod
2025-01-06T00:00:00Z,AmazonS3,us-east-1,Storage,71.43,data,prod
