lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,37.43,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,21.32,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,56.62,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,172.47,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,4.73,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,94.07,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,71.55,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,26.21,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,46.79,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,52.27,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,210.48,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,8.82,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,89.86,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,82.85,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,34.0,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,34.73,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.57,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,141.59,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,5.0,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,204.49,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,83.38,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,14.39,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,13.42,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,35.62,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,186.95,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,3.39,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,108.22,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,65.89,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,25.3,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,37.34,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,41.54,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,201.69,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,8.16,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,124.35,backend,prod
2025-01-05T00:00:00Z,AmazonS3,us-east-1,Storage,66.45,data,prod
2025-01-06T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,30.09,frontend,prod
2025-01-06T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,24.07,backend,staging
2025-01-06T00:00:00Z,AmazonEBS,eu-west-1,Storage,42.42,platform,prod
2025-01-06T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,185.48,backend,prod
2025-01-06T00:00:00Z,AWSLambda,us-east-1,Requests,4.7,platform,staging
2025-01-06T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,170.53,backend,prod
2025-01-06T00:00:00Z,AmazonS3,us-east-1,Storage,72.52,data,prod
2025-01-07T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.58,frontend,prod
2025-01-07T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,47.51,backend,staging
2025-01-07T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.5,platform,prod
2025-01-07T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,217.66,backend,prod
2025-01-07T00:00:00Z,AWSLambda,us-east-1,Requests,5.99,platform,staging
2025-01-07T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,148.59,backend,prod
2025-01-07T00:00:00Z,AmazonS3,us-east-1,Storage,64.45,data,prod
2025-01-08T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,37.74,frontend,prod
2025-01-08T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,45.93,backend,staging
2025-01-08T00:00:00Z,AmazonEBS,eu-west-1,Storage,51.71,platform,prod
2025-01-08T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,211.2,backend,prod
2025-01-08T00:00:00Z,AWSLambda,us-east-1,Requests,3.24,platform,staging
2025-01-08T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,185.26,backend,prod
2025-01-08T00:00:00Z,AmazonS3,us-east-1,Storage,88.93,data,prod
2025-01-09T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,28.03,frontend,prod
2025-01-09T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,39.62,backend,staging
2025-01-09T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.1,platform,prod
2025-01-09T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,187.79,backend,prod
2025-01-09T00:00:00Z,AWSLambda,us-east-1,Requests,4.06,platform,staging
2025-01-09T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,134.85,backend,prod
2025-01-09T00:00:00Z,AmazonS3,us-east-1,Storage,66.0,data,prod
2025-01-10T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.25,frontend,prod
2025-01-10T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.71,backend,staging
2025-01-10T00:00:00Z,AmazonEBS,eu-west-1,Storage,45.46,platform,prod
2025-01-10T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,170.82,backend,prod
2025-01-10T00:00:00Z,AWSLambda,us-east-1,Requests,4.87,platform,staging
2025-01-10T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,170.55,backend,prod
2025-01-10T00:00:00Z,AmazonS3,us-east-1,Storage,89.3,data,prod
2025-01-11T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.57,frontend,prod
2025-01-11T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,23.04,backend,staging
2025-01-11T00:00:00Z,AmazonEBS,eu-west-1,Storage,42.91,platform,prod
2025-01-11T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,106.28,backend,prod
2025-01-11T00:00:00Z,AWSLambda,us-east-1,Requests,2.83,platform,staging
2025-01-11T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,89.54,backend,prod
2025-01-11T00:00:00Z,AmazonS3,us-east-1,Storage,59.75,data,prod
2025-01-12T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,28.83,frontend,prod
2025-01-12T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.29,backend,staging
2025-01-12T00:00:00Z,AmazonEBS,eu-west-1,Storage,44.12,platform,prod
2025-01-12T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,210.22,backend,prod
2025-01-12T00:00:00Z,AWSLambda,us-east-1,Requests,6.94,platform,staging
2025-01-12T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,144.38,backend,prod
2025-01-12T00:00:00Z,AmazonS3,us-east-1,Storage,61.94,data,prod
2025-01-13T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,18.46,frontend,prod
2025-01-13T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,31.03,backend,staging
2025-01-13T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.22,platform,prod
2025-01-13T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,200.67,backend,prod
2025-01-13T00:00:00Z,AWSLambda,us-east-1,Requests,4.01,platform,staging
2025-01-13T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,173.67,backend,prod
2025-01-13T00:00:00Z,AmazonS3,us-east-1,Storage,71.85,data,prod
2025-01-14T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,29.17,frontend,prod
2025-01-14T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,41.11,backend,staging
2025-01-14T00:00:00Z,AmazonEBS,eu-west-1,Storage,53.93,platform,prod
2025-01-14T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,294.4,backend,prod
2025-01-14T00:00:00Z,AWSLambda,us-east-1,Requests,2.82,platform,staging
2025-01-14T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,166.15,backend,prod
2025-01-14T00:00:00Z,AmazonS3,us-east-1,Storage,80.12,data,prod
2025-01-15T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.37,frontend,prod
2025-01-15T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,31.87,backend,staging
2025-01-15T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.29,platform,prod
2025-01-15T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,232.66,backend,prod
2025-01-15T00:00:00Z,AWSLambda,us-east-1,Requests,8.15,platform,staging
2025-01-15T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,164.65,backend,prod
2025-01-15T00:00:00Z,AmazonS3,us-east-1,Storage,71.25,data,prod
2025-01-16T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,29.73,frontend,prod
2025-01-16T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,23.09,backend,staging
2025-01-16T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.71,platform,prod
2025-01-16T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,212.74,backend,prod
2025-01-16T00:00:00Z,AWSLambda,us-east-1,Requests,7.24,platform,staging
2025-01-16T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,163.93,backend,prod
2025-01-16T00:00:00Z,AmazonS3,us-east-1,Storage,91.21,data,prod
2025-01-17T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,24.43,frontend,prod
2025-01-17T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,29.03,backend,staging
2025-01-17T00:00:00Z,AmazonEBS,eu-west-1,Storage,49.31,platform,prod
2025-01-17T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,178.69,backend,prod
2025-01-17T00:00:00Z,AWSLambda,us-east-1,Requests,2.25,platform,staging
2025-01-17T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,178.07,backend,prod
2025-01-17T00:00:00Z,AmazonS3,us-east-1,Storage,83.19,data,prod
2025-01-18T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,22.9,frontend,prod
2025-01-18T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,28.35,backend,staging
2025-01-18T00:00:00Z,AmazonEBS,eu-west-1,Storage,43.74,platform,prod
2025-01-18T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,210.09,backend,prod
2025-01-18T00:00:00Z,AWSLambda,us-east-1,Requests,3.62,platform,staging
2025-01-18T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,149.52,backend,prod
2025-01-18T00:00:00Z,AmazonS3,us-east-1,Storage,68.22,data,prod
2025-01-19T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,27.77,frontend,prod
2025-01-19T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,25.25,backend,staging
2025-01-19T00:00:00Z,AmazonEBS,eu-west-1,Storage,39.87,platform,prod
2025-01-19T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,152.73,backend,prod
2025-01-19T00:00:00Z,AWSLambda,us-east-1,Requests,6.54,platform,staging
2025-01-19T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,112.18,backend,prod
2025-01-19T00:00:00Z,AmazonS3,us-east-1,Storage,64.75,data,prod
2025-01-20T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,28.47,frontend,prod
2025-01-20T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,34.78,backend,staging
2025-01-20T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.38,platform,prod
2025-01-20T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,260.21,backend,prod
2025-01-20T00:00:00Z,AWSLambda,us-east-1,Requests,3.92,platform,staging
2025-01-20T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,182.82,backend,prod
2025-01-20T00:00:00Z,AmazonS3,us-east-1,Storage,87.21,data,prod
2025-01-21T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,32.07,frontend,prod
2025-01-21T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,27.57,backend,staging
2025-01-21T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.1,platform,prod
2025-01-21T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,188.39,backend,prod
2025-01-21T00:00:00Z,AWSLambda,us-east-1,Requests,5.03,platform,staging
2025-01-21T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,135.41,backend,prod
2025-01-21T00:00:00Z,AmazonS3,us-east-1,Storage,86.76,data,prod
2025-01-22T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,33.12,frontend,prod
2025-01-22T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,44.84,backend,staging
2025-01-22T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.33,platform,prod
2025-01-22T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,209.81,backend,prod
2025-01-22T00:00:00Z,AWSLambda,us-east-1,Requests,5.12,platform,staging
2025-01-22T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,161.8,backend,prod
2025-01-22T00:00:00Z,AmazonS3,us-east-1,Storage,105.6,data,prod
2025-01-23T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,31.07,frontend,prod
2025-01-23T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,30.31,backend,staging
2025-01-23T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.93,platform,prod
2025-01-23T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,147.42,backend,prod
2025-01-23T00:00:00Z,AWSLambda,us-east-1,Requests,2.26,platform,staging
2025-01-23T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,151.96,backend,prod
2025-01-23T00:00:00Z,AmazonS3,us-east-1,Storage,99.19,data,prod
2025-01-24T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,29.81,frontend,prod
2025-01-24T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,37.44,backend,staging
2025-01-24T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.37,platform,prod
2025-01-24T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,288.83,backend,prod
2025-01-24T00:00:00Z,AWSLambda,us-east-1,Requests,3.66,platform,staging
2025-01-24T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,169.39,backend,prod
2025-01-24T00:00:00Z,AmazonS3,us-east-1,Storage,78.21,data,prod
2025-01-25T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.63,frontend,prod
2025-01-25T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,18.66,backend,staging
2025-01-25T00:00:00Z,AmazonEBS,eu-west-1,Storage,43.84,platform,prod
2025-01-25T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,165.53,backend,prod
2025-01-25T00:00:00Z,AWSLambda,us-east-1,Requests,6.13,platform,staging
2025-01-25T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,124.44,backend,prod
2025-01-25T00:00:00Z,AmazonS3,us-east-1,Storage,90.39,data,prod
2025-01-26T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,27.12,frontend,prod
2025-01-26T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,196.73,backend,staging
2025-01-26T00:00:00Z,AmazonEBS,eu-west-1,Storage,47.55,platform,prod
2025-01-26T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,156.76,backend,prod
2025-01-26T00:00:00Z,AWSLambda,us-east-1,Requests,7.41,platform,staging
2025-01-26T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,138.96,backend,prod
2025-01-26T00:00:00Z,AmazonS3,us-east-1,Storage,61.04,data,prod
2025-01-27T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,36.75,frontend,prod
2025-01-27T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,44.48,backend,staging
2025-01-27T00:00:00Z,AmazonEBS,eu-west-1,Storage,54.61,platform,prod
2025-01-27T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,233.03,backend,prod
2025-01-27T00:00:00Z,AWSLambda,us-east-1,Requests,5.5,platform,staging
2025-01-27T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,146.8,backend,prod
2025-01-27T00:00:00Z,AmazonS3,us-east-1,Storage,113.74,data,prod
2025-01-28T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,41.26,frontend,prod
2025-01-28T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,38.07,backend,staging
2025-01-28T00:00:00Z,AmazonEBS,eu-west-1,Storage,49.94,platform,prod
2025-01-28T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,170.78,backend,prod
