lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,24.78,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,43.76,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,52.43,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,201.64,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,4.61,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,158.9,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,74.28,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,33.21,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,37.35,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,57.96,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,212.51,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,4.46,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,142.95,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,69.45,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,27.44,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.23,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,52.82,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,191.78,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,7.02,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,154.11,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,73.78,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.69,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,24.64,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,41.99,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,140.4,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,4.08,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,91.08,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,53.21,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.54,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,24.34,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,36.18,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,153.57,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,4.36,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,108.01,backend,prod
2025-01-05T00:00:00Z,AmazonS3,us-east-1,Storage,56.9,data,prod
2025-01-06T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,36.14,frontend,prod
2025-01-06T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,44.44,backend,staging
2025-01-06T00:00:00Z,AmazonEBS,eu-west-1,Storage,52.05,platform,prod
2025-01-06T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,165.89,backend,prod
2025-01-06T00:00:00Z,AWSLambda,us-east-1,Requests,5.66,platform,staging
2025-01-06T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,165.61,backend,prod
2025-01-06T00:00:00Z,AmazonS3,us-east-1,Storage,71.49,data,prod
2025-01-07T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,27.91,frontend,prod
