lineItem/UsageStartDate,lineItem/ProductCode,product/region,lineItem/UsageType,lineItem/UnblendedCost,resourceTags/user:Team,resourceTags/user:Environment
2025-01-01T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,28.93,frontend,prod
2025-01-01T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.4,backend,staging
2025-01-01T00:00:00Z,AmazonEBS,eu-west-1,Storage,51.48,platform,prod
2025-01-01T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,275.66,backend,prod
2025-01-01T00:00:00Z,AWSLambda,us-east-1,Requests,6.93,platform,staging
2025-01-01T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,180.77,backend,prod
2025-01-01T00:00:00Z,AmazonS3,us-east-1,Storage,68.46,data,prod
2025-01-02T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,36.19,frontend,prod
2025-01-02T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,40.7,backend,staging
2025-01-02T00:00:00Z,AmazonEBS,eu-west-1,Storage,53.58,platform,prod
2025-01-02T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,108.9,backend,prod
2025-01-02T00:00:00Z,AWSLambda,us-east-1,Requests,5.38,platform,staging
2025-01-02T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,208.04,backend,prod
2025-01-02T00:00:00Z,AmazonS3,us-east-1,Storage,70.48,data,prod
2025-01-03T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.42,frontend,prod
2025-01-03T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,28.81,backend,staging
2025-01-03T00:00:00Z,AmazonEBS,eu-west-1,Storage,44.46,platform,prod
2025-01-03T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,216.92,backend,prod
2025-01-03T00:00:00Z,AWSLambda,us-east-1,Requests,7.23,platform,staging
2025-01-03T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,156.28,backend,prod
2025-01-03T00:00:00Z,AmazonS3,us-east-1,Storage,74.48,data,prod
2025-01-04T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,22.69,frontend,prod
2025-01-04T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,25.24,backend,staging
2025-01-04T00:00:00Z,AmazonEBS,eu-west-1,Storage,47.2,platform,prod
2025-01-04T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,150.12,backend,prod
2025-01-04T00:00:00Z,AWSLambda,us-east-1,Requests,7.03,platform,staging
2025-01-04T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,122.58,backend,prod
2025-01-04T00:00:00Z,AmazonS3,us-east-1,Storage,63.85,data,prod
2025-01-05T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,9.29,frontend,prod
2025-01-05T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,24.96,backend,staging
2025-01-05T00:00:00Z,AmazonEBS,eu-west-1,Storage,40.25,platform,prod
2025-01-05T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,153.63,backend,prod
2025-01-05T00:00:00Z,AWSLambda,us-east-1,Requests,5.08,platform,staging
2025-01-05T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,133.35,backend,prod
2025-01-05T00:00:00Z,AmazonS3,us-east-1,Storage,52.86,data,prod
2025-01-06T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,21.81,frontend,prod
2025-01-06T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,41.52,backend,staging
2025-01-06T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.59,platform,prod
2025-01-06T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,194.1,backend,prod
2025-01-06T00:00:00Z,AWSLambda,us-east-1,Requests,4.81,platform,staging
2025-01-06T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,174.37,backend,prod
2025-01-06T00:00:00Z,AmazonS3,us-east-1,Storage,60.31,data,prod
2025-01-07T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,38.83,frontend,prod
2025-01-07T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,40.34,backend,staging
2025-01-07T00:00:00Z,AmazonEBS,eu-west-1,Storage,50.83,platform,prod
2025-01-07T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,128.56,backend,prod
2025-01-07T00:00:00Z,AWSLambda,us-east-1,Requests,7.22,platform,staging
2025-01-07T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,143.27,backend,prod
2025-01-07T00:00:00Z,AmazonS3,us-east-1,Storage,72.91,data,prod
2025-01-08T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.28,frontend,prod
2025-01-08T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,42.35,backend,staging
2025-01-08T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.94,platform,prod
2025-01-08T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,193.63,backend,prod
2025-01-08T00:00:00Z,AWSLambda,us-east-1,Requests,9.88,platform,staging
2025-01-08T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,166.12,backend,prod
2025-01-08T00:00:00Z,AmazonS3,us-east-1,Storage,81.83,data,prod
2025-01-09T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.15,frontend,prod
2025-01-09T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.46,backend,staging
2025-01-09T00:00:00Z,AmazonEBS,eu-west-1,Storage,49.97,platform,prod
2025-01-09T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,170.66,backend,prod
2025-01-09T00:00:00Z,AWSLambda,us-east-1,Requests,5.14,platform,staging
2025-01-09T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,156.82,backend,prod
2025-01-09T00:00:00Z,AmazonS3,us-east-1,Storage,78.52,data,prod
2025-01-10T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,19.53,frontend,prod
2025-01-10T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,32.64,backend,staging
2025-01-10T00:00:00Z,AmazonEBS,eu-west-1,Storage,54.18,platform,prod
2025-01-10T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,323.15,backend,prod
2025-01-10T00:00:00Z,AWSLambda,us-east-1,Requests,5.41,platform,staging
2025-01-10T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,195.39,backend,prod
2025-01-10T00:00:00Z,AmazonS3,us-east-1,Storage,74.59,data,prod
2025-01-11T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,26.65,frontend,prod
2025-01-11T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,32.7,backend,staging
2025-01-11T00:00:00Z,AmazonEBS,eu-west-1,Storage,39.01,platform,prod
2025-01-11T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,174.41,backend,prod
2025-01-11T00:00:00Z,AWSLambda,us-east-1,Requests,4.4,platform,staging
2025-01-11T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,117.4,backend,prod
2025-01-11T00:00:00Z,AmazonS3,us-east-1,Storage,58.6,data,prod
2025-01-12T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,24.32,frontend,prod
2025-01-12T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,25.74,backend,staging
2025-01-12T00:00:00Z,AmazonEBS,eu-west-1,Storage,40.66,platform,prod
2025-01-12T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,157.01,backend,prod
2025-01-12T00:00:00Z,AWSLambda,us-east-1,Requests,6.94,platform,staging
2025-01-12T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,150.86,backend,prod
2025-01-12T00:00:00Z,AmazonS3,us-east-1,Storage,62.32,data,prod
2025-01-13T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,19.77,frontend,prod
2025-01-13T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,39.34,backend,staging
2025-01-13T00:00:00Z,AmazonEBS,eu-west-1,Storage,48.65,platform,prod
2025-01-13T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,192.16,backend,prod
2025-01-13T00:00:00Z,AWSLambda,us-east-1,Requests,2.25,platform,staging
2025-01-13T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,142.22,backend,prod
2025-01-13T00:00:00Z,AmazonS3,us-east-1,Storage,71.31,data,prod
2025-01-14T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,32.81,frontend,prod
2025-01-14T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,38.63,backend,staging
2025-01-14T00:00:00Z,AmazonEBS,eu-west-1,Storage,43.67,platform,prod
2025-01-14T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,178.13,backend,prod
2025-01-14T00:00:00Z,AWSLambda,us-east-1,Requests,6.45,platform,staging
2025-01-14T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,134.79,backend,prod
2025-01-14T00:00:00Z,AmazonS3,us-east-1,Storage,79.09,data,prod
2025-01-15T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,29.96,frontend,prod
2025-01-15T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,29.04,backend,staging
2025-01-15T00:00:00Z,AmazonEBS,eu-west-1,Storage,55.9,platform,prod
2025-01-15T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,164.07,backend,prod
2025-01-15T00:00:00Z,AWSLambda,us-east-1,Requests,8.31,platform,staging
2025-01-15T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,140.75,backend,prod
2025-01-15T00:00:00Z,AmazonS3,us-east-1,Storage,67.33,data,prod
2025-01-16T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,33.44,frontend,prod
2025-01-16T00:00:00Z,AmazonDynamoDB,us-east-1,ReadUnits,33.21,backend,staging
2025-01-16T00:00:00Z,AmazonEBS,eu-west-1,Storage,53.0,platform,prod
2025-01-16T00:00:00Z,AmazonEC2,us-east-1,BoxUsage,188.36,backend,prod
2025-01-16T00:00:00Z,AWSLambda,us-east-1,Requests,3.8,platform,staging
2025-01-16T00:00:00Z,AmazonRDS,eu-west-1,InstanceHr,129.45,backend,prod
2025-01-16T00:00:00Z,AmazonS3,us-east-1,Storage,74.15,data,prod
2025-01-17T00:00:00Z,AmazonCloudFront,us-east-1,DataXfer,23.64,frontend,prod
